num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
0,8,0,0,18029.49,1.34,166.84,18629.49,0.0
0,16,0,0,7081.38,0.54,137.58,7681.38,0.0
0,32,0,0,3370.44,0.27,142.23,3970.44,0.0
0,48,0,0,2104.12,0.18,145.3,2704.12,0.0
0,64,0,0,1450.96,0.13,146.94,2050.96,0.0
0,72,0,0,1304.43,0.12,153.5,1904.43,0.0
0,96,0,0,759.67,0.08,146.12,1359.67,0.0
0,128,0,0,434.12,0.06,148.18,1034.12,0.0
0,192,0,0,276.21,0.03,159.16,740.49,0.0
0,255,0,0,275.0,0.02,168.14,586.7,0.0
0,480,0,0,275.0,0.0,176.72,328.89,0.0
0,510,0,0,156.1,0.01,193.88,338.26,0.0
0,767,0,0,155.4,0.01,216.06,251.31,0.0
0,1023,0,0,134.96,0.01,339.54,296.2,0.0
0,2042,0,0,86.46,0.01,551.25,240.44,0.0
0,4085,0,0,86.24,0.0,635.89,138.95,0.0
8,0,0,0,37026.09,2.7,89.47,37626.09,0.0
8,5,0,0,12035.43,0.9,143.2,12635.43,0.0
8,16,0,0,5120.51,0.4,116.06,5720.51,0.0
8,32,0,0,2654.6,0.22,124.33,3254.6,0.0
8,48,0,0,1683.75,0.15,128.14,2283.75,0.0
8,64,0,0,1237.58,0.11,136.02,1837.58,0.0
8,72,0,0,1053.05,0.1,137.17,1653.05,0.0
8,96,0,0,653.25,0.07,137.66,1253.25,0.0
8,127,0,0,462.61,0.06,154.79,1062.61,0.0
8,192,0,0,290.9,0.04,187.33,862.02,0.0
8,255,0,0,289.69,0.03,196.31,679.4,0.0
8,479,0,0,170.78,0.03,344.49,638.29,0.0
8,509,0,0,170.08,0.04,387.33,672.99,0.0
8,763,0,0,170.33,0.03,548.57,636.31,0.0
8,1022,0,0,149.24,0.04,770.35,670.63,0.0
8,2039,0,0,113.82,0.04,1450.62,634.55,0.0
8,4094,0,0,100.98,0.04,2909.0,634.1,0.0
16,0,0,0,14863.95,1.09,73.54,15463.95,0.0
16,5,0,0,7943.22,0.6,117.14,8543.22,0.0
16,16,0,0,4056.9,0.32,105.56,4656.9,0.0
16,32,0,0,2275.08,0.19,116.66,2875.08,0.0
16,48,0,0,1434.81,0.13,119.01,2034.81,0.0
16,64,0,0,1012.07,0.1,123.16,1612.07,0.0
16,72,0,0,909.37,0.09,128.83,1509.37,0.0
16,96,0,0,573.5,0.06,131.69,1173.5,0.0
16,127,0,0,334.02,0.05,138.28,934.02,0.0
16,192,0,0,290.9,0.03,164.54,748.98,0.0
16,255,0,0,289.69,0.03,194.46,667.5,0.0
16,479,0,0,170.78,0.03,346.0,638.26,0.0
16,509,0,0,170.08,0.04,382.16,661.27,0.0
16,763,0,0,170.33,0.03,550.08,636.31,0.0
16,1022,0,0,149.24,0.04,745.02,647.24,0.0
16,2039,0,0,113.82,0.04,1452.07,634.53,0.0
