num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
0,8,0,0,46803.68,3.43,424.53,47403.68,0.0
0,16,0,0,8178.11,0.62,157.23,8778.11,0.0
0,32,0,0,3741.84,0.3,155.53,4341.84,0.0
0,48,0,0,2526.54,0.22,168.0,3126.54,0.0
0,61,0,0,2565.67,0.22,216.17,3165.67,0.0
0,71,0,0,2224.64,0.2,224.5,2824.64,0.0
0,93,0,0,2074.84,0.19,278.47,2674.84,0.0
0,125,0,0,2196.38,0.2,391.3,2796.38,0.0
0,190,0,0,1262.54,0.13,396.15,1862.54,0.0
0,188,0,0,1563.99,0.15,455.42,2163.99,0.0
0,167,0,0,1747.51,0.17,438.86,2347.51,0.0
0,229,0,0,1522.84,0.15,544.2,2122.84,0.0
0,756,0,0,208.59,0.05,684.31,808.59,0.0
0,770,0,0,213.97,0.05,701.62,813.97,0.0
0,378,0,0,694.87,0.09,547.93,1294.87,0.0
0,593,0,0,391.58,0.07,658.24,991.58,0.0
8,0,0,0,93762.14,6.84,224.37,94362.14,0.0
8,8,0,0,18975.33,1.41,221.85,19575.33,0.0
8,16,0,0,7560.47,0.57,165.57,8160.47,0.0
8,32,0,0,3814.75,0.31,168.64,4414.75,0.0
8,48,0,0,2480.02,0.21,172.82,3080.02,0.0
6,64,0,0,2637.57,0.23,237.73,3237.57,0.0
8,71,0,0,2661.04,0.23,266.94,3261.04,0.0
6,96,0,0,2090.51,0.19,293.94,2690.51,0.0
8,128,0,0,2512.16,0.22,453.34,3112.16,0.0
8,192,0,0,1274.53,0.13,407.36,1874.53,0.0
8,254,0,0,731.92,0.09,381.88,1331.92,0.0
8,311,0,0,661.9,0.09,442.33,1261.9,0.0
8,267,0,0,750.07,0.09,406.74,1350.07,0.0
5,674,0,0,676.21,0.09,964.8,1276.21,0.0
8,582,0,0,853.61,0.1,950.51,1453.61,0.0
7,441,0,0,562.79,0.08,576.46,1162.79,0.0
8,392,0,0,1191.7,0.13,790.5,1791.7,0.0
16,0,0,0,19961.01,1.46,97.78,20561.01,0.0
16,8,0,0,9785.78,0.74,142.4,10385.78,0.0
16,16,0,0,6031.59,0.46,150.32,6631.59,0.0
16,32,0,0,2832.76,0.23,139.29,3432.76,0.0
16,48,0,0,2659.41,0.23,190.64,3259.41,0.0
16,64,0,0,2670.89,0.23,249.9,3270.89,0.0
16,72,0,0,2128.0,0.19,232.85,2728.0,0.0
16,96,0,0,2654.05,0.23,365.18,3254.05,0.0
13,128,0,0,1676.81,0.16,335.04,2276.81,0.0
10,175,0,0,1194.33,0.13,356.85,1794.33,0.0
16,236,0,0,672.09,0.09,342.12,1272.09,0.0
15,339,0,0,647.68,0.09,479.05,1247.68,0.0
12,412,0,0,816.91,0.1,658.55,1416.91,0.0
15,606,0,0,806.58,0.1,960.47,1406.58,0.0
7,322,0,0,884.08,0.1,538.04,1484.08,0.0
8,220,0,0,1680.05,0.16,566.95,2280.05,0.0
8,200,0,0,1722.99,0.16,525.61,2322.99,0.0
32,0,0,0,7988.38,0.59,81.69,8588.38,0.0
32,8,0,0,5002.59,0.39,103.46,5602.59,0.0
32,16,0,0,3728.63,0.3,118.7,4328.63,0.0
31,32,0,0,2560.73,0.21,142.35,3160.73,0.0
29,48,0,0,2396.54,0.21,186.84,2996.54,0.0
32,64,0,0,2105.04,0.19,219.53,2705.04,0.0
32,72,0,0,2643.06,0.23,292.24,3243.06,0.0
22,96,0,0,2460.83,0.22,348.95,3060.83,0.0
22,124,0,0,1791.89,0.17,347.66,2391.89,0.0
30,166,0,0,1183.4,0.13,347.31,1783.4,0.0
11,254,0,0,1168.32,0.12,508.58,1768.32,0.0
28,286,0,0,1667.55,0.16,744.85,2267.55,0.0
27,222,0,0,1684.81,0.16,586.15,2284.81,0.0
32,282,0,0,1133.31,0.12,563.66,1733.31,0.0
32,543,0,0,708.67,0.09,807.93,1308.67,0.0
32,220,0,0,1473.2,0.15,530.3,2073.2,0.0
29,263,0,0,1135.95,0.12,526.05,1735.95,0.0
48,0,0,0,7023.18,0.52,108.76,7623.18,0.0
48,8,0,0,4147.09,0.33,110.24,4747.09,0.0
48,16,0,0,3066.04,0.25,117.96,3666.04,0.0
48,32,0,0,2427.72,0.21,151.66,3027.72,0.0
48,46,0,0,2368.62,0.21,195.22,2968.62,0.0
48,64,0,0,2293.14,0.21,248.55,2893.14,0.0
48,72,0,0,2498.22,0.22,293.92,3098.22,0.0
42,96,0,0,2402.46,0.21,360.14,3002.46,0.0
34,128,0,0,1333.48,0.14,296.58,1933.48,0.0
47,165,0,0,1179.82,0.13,353.61,1779.82,0.0
34,173,0,0,1158.01,0.12,358.23,1758.01,0.0
44,183,0,0,1165.26,0.12,384.71,1765.26,0.0
33,251,0,0,1158.01,0.12,511.21,1758.01,0.0
38,285,0,0,1128.77,0.12,571.08,1728.77,0.0
34,542,0,0,635.45,0.09,762.08,1235.45,0.0
34,1049,0,0,593.19,0.08,1413.22,1193.19,0.0
47,792,0,0,622.16,0.08,1100.64,1222.16,0.0
64,0,0,0,5430.94,0.42,114.72,6030.94,0.0
64,8,0,0,3468.4,0.28,113.82,4068.4,0.0
64,16,0,0,2667.12,0.23,120.67,3267.12,0.0
64,32,0,0,2415.73,0.21,165.4,3015.73,0.0
64,47,0,0,2445.15,0.22,218.14,3045.15,0.0
