num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
0,8,0,0,24271.04,1.79,222.73,24871.04,0.0
0,16,0,0,8323.31,0.64,159.83,8923.31,0.0
0,32,0,0,3337.04,0.28,141.03,3937.04,0.0
0,48,0,0,1987.82,0.18,139.05,2587.82,0.0
0,64,0,0,1662.95,0.15,162.13,2262.95,0.0
0,72,0,0,1024.95,0.11,130.97,1624.95,0.0
0,96,0,0,675.32,0.08,137.05,1275.32,0.0
0,128,0,0,475.2,0.07,154.06,1075.2,0.0
0,192,0,0,157.91,0.05,162.9,757.91,0.0
0,256,0,0,143.16,0.05,212.97,743.16,0.0
0,480,0,0,69.98,0.04,328.74,611.8,0.0
0,512,0,0,62.04,0.04,358.01,624.63,0.0
0,768,0,0,61.61,0.02,294.5,342.55,0.0
0,1009,0,0,61.61,0.01,292.07,256.79,0.0
0,1061,0,0,61.61,0.01,284.25,238.65,0.0
0,1061,0,0,61.61,0.01,284.25,238.65,0.0
8,0,0,0,49132.25,3.58,118.25,49732.25,0.0
8,8,0,0,9721.92,0.74,116.98,10321.92,0.0
8,16,0,0,4946.41,0.39,112.53,5546.41,0.0
8,32,0,0,3015.38,0.25,138.11,3615.38,0.0
8,48,0,0,1420.22,0.14,113.36,2020.22,0.0
8,64,0,0,939.05,0.1,113.92,1539.05,0.0
8,72,0,0,780.56,0.09,114.56,1380.56,0.0
8,96,0,0,484.59,0.07,119.14,1084.59,0.0
8,128,0,0,390.69,0.06,144.31,990.69,0.0
8,192,0,0,127.12,0.05,158.01,727.12,0.0
8,256,0,0,233.84,0.05,240.94,833.84,0.0
8,480,0,0,70.53,0.03,283.59,525.45,0.0
8,512,0,0,69.55,0.03,269.31,467.94,0.0
8,667,0,0,69.55,0.02,287.02,380.34,0.0
8,667,0,0,69.55,0.02,287.02,380.34,0.0
8,2048,0,0,69.66,0.02,829.91,361.62,0.0
8,2159,0,0,69.66,0.01,524.32,216.63,0.0
16,0,0,0,18494.64,1.37,90.81,19094.64,0.0
16,8,0,0,6719.7,0.52,100.36,7319.7,0.0
16,16,0,0,4600.48,0.37,117.88,5200.48,0.0
16,32,0,0,2219.17,0.19,114.4,2819.17,0.0
16,48,0,0,1370.16,0.13,115.23,1970.16,0.0
16,64,0,0,971.72,0.1,120.08,1571.72,0.0
16,72,0,0,761.06,0.09,116.17,1361.06,0.0
16,96,0,0,598.67,0.08,134.52,1198.67,0.0
16,128,0,0,481.0,0.07,160.04,1081.0,0.0
16,192,0,0,294.81,0.06,196.58,894.81,0.0
16,256,0,0,113.58,0.05,207.89,713.58,0.0
16,480,0,0,69.83,0.04,362.11,667.98,0.0
16,509,0,0,69.66,0.04,383.38,663.39,0.0
16,509,0,0,69.66,0.04,383.38,663.39,0.0
16,509,0,0,69.66,0.04,383.38,663.39,0.0
16,509,0,0,69.66,0.04,383.38,663.39,0.0
16,509,0,0,69.66,0.04,383.38,663.39,0.0
32,0,0,0,9487.96,0.72,95.95,10087.96,0.0
32,8,0,0,6023.67,0.47,122.32,6623.67,0.0
32,16,0,0,3358.39,0.28,108.55,3958.39,0.0
