num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
8,0,0,0,46641.83,3.4,356.94,47241.83,51210918.69
16,0,0,0,12538.5,0.93,198.54,13138.5,46584762.15
56,0,0,0,5435.5,0.43,319.21,6035.5,86273497.51
24,0,0,0,7664.4,0.58,187.33,8264.4,47708125.12
32,0,0,0,5419.32,0.41,181.92,6019.32,47481766.65
48,0,0,0,6586.06,0.51,325.77,7186.06,92347830.56
64,0,0,0,4214.55,0.34,291.01,4814.55,77727249.9
72,0,0,0,3727.79,0.3,294.29,4327.79,79106430.39
80,0,0,0,3707.11,0.3,325.43,4307.11,88462778.79
40,0,0,0,4296.78,0.33,184.99,4896.78,47766165.31
88,0,0,0,3381.87,0.28,330.94,3981.87,92447564.32
96,0,0,0,3168.02,0.26,341.63,3768.02,89693840.21
112,0,0,0,2635.27,0.22,342.22,3235.27,94204168.09
104,0,0,0,2587.49,0.22,313.08,3187.49,85852363.05
128,0,0,0,2153.02,0.19,332.81,2753.02,92709913.47
144,0,0,0,1958.0,0.17,347.89,2558.0,94774350.28
176,0,0,0,1455.83,0.14,341.72,2055.83,94396342.43
192,0,0,0,1256.06,0.12,336.57,1856.06,94054327.56
160,0,0,0,1612.17,0.15,334.28,2212.17,93874133.55
256,0,0,0,822.02,0.09,343.81,1422.02,94581255.3
208,0,0,0,1132.01,0.11,340.24,1732.01,94524492.11
512,0,0,0,301.28,0.05,435.82,901.28,121819629.52
768,0,0,0,292.19,0.06,647.14,892.19,138459326.81
480,0,0,0,239.73,0.05,380.68,839.73,97654155.26
1024,0,0,0,104.25,0.04,679.55,702.66,162875910.79
2048,0,0,0,100.11,0.04,1223.01,632.3,191207478.76
2751,0,0,0,100.11,0.01,691.81,266.17,158077329.19
2751,0,0,0,100.11,0.01,691.81,266.17,158077329.19
