num_a100,num_h100,num_h200,num_gb200,ttff_s,tbf_s,cost,total_time,energy
8,0,0,0,15142.42,1.14,37.43,15742.42,0.0
0,8,0,0,7298.84,0.57,70.74,7898.84,0.0
0,16,0,0,7906.75,0.62,152.37,8506.75,0.0
8,8,0,0,7406.01,0.58,90.73,8006.01,0.0
0,24,0,0,7451.63,0.58,216.32,8051.63,0.0
0,32,0,0,7451.2,0.58,288.41,8051.2,0.0
8,16,0,0,7310.65,0.57,160.5,7910.65,0.0
16,0,0,0,17399.54,1.3,85.6,17999.54,0.0
0,40,0,0,7286.54,0.57,353.14,7886.54,0.0
16,8,0,0,7370.91,0.58,109.29,7970.91,0.0
8,24,0,0,7284.64,0.57,230.58,7884.64,0.0
0,48,0,0,7260.54,0.57,422.37,7860.54,0.0
24,0,0,0,16407.09,1.23,121.32,17007.09,0.0
16,16,0,0,7295.78,0.57,178.97,7895.78,0.0
24,8,0,0,7337.53,0.57,127.71,7937.53,0.0
8,32,0,0,7275.97,0.57,300.86,7875.97,0.0
0,56,0,0,7249.95,0.57,492.1,7849.95,0.0
16,24,0,0,7275.73,0.57,249.05,7875.73,0.0
24,16,0,0,7287.98,0.57,197.55,7887.98,0.0
0,64,0,0,7244.2,0.57,561.99,7844.2,0.0
8,40,0,0,7275.97,0.57,371.4,7875.97,0.0
32,0,0,0,16406.39,1.23,161.75,17006.39,0.0
16,32,0,0,7269.77,0.57,319.34,7869.77,0.0
24,24,0,0,7271.88,0.57,267.64,7871.88,0.0
0,72,0,0,7240.59,0.57,631.95,7840.59,0.0
32,8,0,0,7336.83,0.57,146.57,7936.83,0.0
8,48,0,0,7275.97,0.57,441.93,7875.97,0.0
0,80,0,0,7244.65,0.57,702.53,7844.65,0.0
24,32,0,0,7264.45,0.57,337.82,7864.45,0.0
8,56,0,0,7275.97,0.57,512.46,7875.97,0.0
32,16,0,0,7287.28,0.57,216.29,7887.28,0.0
16,40,0,0,7263.99,0.57,389.53,7863.99,0.0
0,88,0,0,7240.68,0.57,772.39,7840.68,0.0
16,48,0,0,7266.88,0.57,460.12,7866.88,0.0
8,64,0,0,7267.3,0.57,582.35,7867.3,0.0
0,96,0,0,7240.68,0.57,842.61,7840.68,0.0
32,24,0,0,7271.18,0.57,286.34,7871.18,0.0
24,40,0,0,7259.59,0.57,408.0,7859.59,0.0
0,104,0,0,7240.68,0.57,912.83,7840.68,0.0
16,56,0,0,7263.99,0.57,530.38,7863.99,0.0
24,48,0,0,7261.97,0.57,478.53,7861.97,0.0
8,72,0,0,7267.3,0.57,652.81,7867.3,0.0
0,112,0,0,7236.71,0.57,982.55,7836.71,0.0
32,32,0,0,7263.75,0.57,356.49,7863.75,0.0
8,80,0,0,7267.3,0.57,723.27,7867.3,0.0
16,64,0,0,7261.1,0.57,600.59,7861.1,0.0
