world_size,steps,frames,width,height,total_time,avg_steps_time,vae_time
1,10,77,640,480,59.75,5.831083,1.439167
2,10,77,640,480,33.15,3.171083,1.439167
4,10,77,640,480,28.53,2.709083,1.439167
8,10,77,640,480,20.6,1.916083,1.439167
10,10,77,640,480,17.79,1.635083,1.439167
16,10,77,640,480,15.92,1.448083,1.439167
20,10,77,640,480,14.98,1.354083,1.439167
24,10,77,640,480,14.05,1.261083,1.439167
32,10,77,640,480,13.11,1.167083,1.439167
40,10,77,640,480,12.17,1.073083,1.439167
# H200,vae_dec with 10 steps, 784x496 pixels => 2.05 seconds out of 85.11 total
